Código,Nombre,Estado,Epic
0.1,Arquitectura del Sistema,Completado,Sistema de Software de la Plataforma (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20de%20Software%20de%20la%20Plataforma%20a95da894ced646af92dc7e1d112520fd.html)
0.2,Infraestructura del Sistema,Completado,Sistema de Software de la Plataforma (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20de%20Software%20de%20la%20Plataforma%20a95da894ced646af92dc7e1d112520fd.html)
0.3,Documentación del Sistema,Completado,Sistema de Software de la Plataforma (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20de%20Software%20de%20la%20Plataforma%20a95da894ced646af92dc7e1d112520fd.html)
1.1,Registro y Autenticación del Sistema,Completado,Gestión de Usuarios (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Gestio%CC%81n%20de%20Usuarios%20edc1f74840894d11bae57754943102ac.html)
1.2,Gestión de la Cuenta de Usuario,Completado,Gestión de Usuarios (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Gestio%CC%81n%20de%20Usuarios%20edc1f74840894d11bae57754943102ac.html)
1.3,Gestión del Administrador sobre un Usuario,Completado,Gestión de Usuarios (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Gestio%CC%81n%20de%20Usuarios%20edc1f74840894d11bae57754943102ac.html)
2.1,Registro de una Entidad/Asociación,Completado,Sistema de Software de la Plataforma (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20de%20Software%20de%20la%20Plataforma%20a95da894ced646af92dc7e1d112520fd.html)
2.2,Gestión de Entidades/Asociaciones,Completado,Gestión de Entidades/Asociaciones (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Gestio%CC%81n%20de%20Entidades%20Asociaciones%20b000025128d54e2f9c527c0bbb230cf5.html)
2.3,Gestion del Administrador sobre una Entidad/Asociación,Completado,Gestión de Entidades/Asociaciones (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Gestio%CC%81n%20de%20Entidades%20Asociaciones%20b000025128d54e2f9c527c0bbb230cf5.html)
3.1,Solicitud de los Servicios de Consultoria,Completado,Gestión de Proyectos (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Gestio%CC%81n%20de%20Proyectos%208a34412335ec4541b337f7d7e3a007d5.html)
3.2,Gestión de un Proyecto,Completado,Gestión de Proyectos (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Gestio%CC%81n%20de%20Proyectos%208a34412335ec4541b337f7d7e3a007d5.html)
3.3,Gestion del Administrador sobre un Proyecto,Completado,Gestión de Proyectos (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Gestio%CC%81n%20de%20Proyectos%208a34412335ec4541b337f7d7e3a007d5.html)
4.1,Proceso de Contratación,Completado,Sistema de Contratación (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20de%20Contratacio%CC%81n%207931c1a81b104bbaab308f9ad47dd5be.html)
4.2,Gestión del Contrato de un Proyecto,Completado,Sistema de Contratación (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20de%20Contratacio%CC%81n%207931c1a81b104bbaab308f9ad47dd5be.html)
5.1,Proceso de Postulación a un Proyecto,Completado,Sistema de Postulaciones (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20de%20Postulaciones%20a7b407d5fd804c06888a9e473c89f3c2.html)
5.2,Proceso de Selección a un Proyecto,Completado,Sistema de Postulaciones (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20de%20Postulaciones%20a7b407d5fd804c06888a9e473c89f3c2.html)
6.1,Proceso de las Fases y Etapas del Proceso de Ingeniería de Requisitos,Completado,Sistema del Proceso de Consultoria: Ingenieria de Requisitos (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20del%20Proceso%20de%20Consultoria%20Ingenieria%20de%20R%20446b7b8cf9064111bed9e5c1372cf562.html)
6.2,Gestión de los Requisitos del Proyecto,Completado,Sistema del Proceso de Consultoria: Ingenieria de Requisitos (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Sistema%20del%20Proceso%20de%20Consultoria%20Ingenieria%20de%20R%20446b7b8cf9064111bed9e5c1372cf562.html)
7.1,Estabilización del Sistema,Completado,Estabilización del Sistema (Epics%20b5eb34c7a2e1497d8bdb6004c4f21687/Estabilizacio%CC%81n%20del%20Sistema%2011c042ac001248aab1713a213c4f2597.html)
