Número,Nombre,Estado,Fecha de Inicio,Fecha de Fin
1,Sprint 1,Finalizado,"August 9, 2021","September 3, 2021"
2,Sprint 2,Finalizado,"September 6, 2021","October 1, 2021"
3,Sprint 3,Finalizado,"October 4, 2021","October 29, 2021"
4,Sprint 4,Finalizado,"November 1, 2021","November 26, 2021"
5,Sprint 5,Finalizado,"November 29, 2021","December 24, 2021"
6,Sprint 6,Finalizado,"December 27, 2021","January 21, 2022"
7,Sprint 7,Finalizado,"January 24, 2022","February 18, 2022"
8,Sprint 8,Finalizado,"February 21, 2022","March 18, 2022"
9,Sprint 9,Finalizado,"March 21, 2022","April 15, 2022"
10,Sprint 10,Finalizado,"April 18, 2022","May 13, 2022"
11,Sprint 11,Finalizado,"May 16, 2022","June 10, 2022"
12,Sprint 12,Finalizado,"June 13, 2022","July 8, 2022"
13,Sprint 13,Finalizado,"July 11, 2022","August 5, 2022"
14,Sprint 14,Finalizado,"August 8, 2022","September 2, 2022"
15,Sprint 15,Finalizado,"September 5, 2022","September 30, 2022"
16,Sprint 16,Finalizado,"October 3, 2022","October 28, 2022"
17,Sprint 17,Finalizado,"October 31, 2022","November 25, 2022"
18,Sprint 18,Finalizado,"November 28, 2022","December 23, 2022"
19,Sprint 19,Finalizado,"December 26, 2022","January 20, 2023"
20,Sprint 20,Finalizado,"January 23, 2023","February 24, 2023"
21,Sprint 21,Finalizado,"February 27, 2023","March 24, 2023"
22,Sprint 22,Finalizado,"March 27, 2023","April 21, 2023"
23,Sprint 23,Finalizado,"April 24, 2023","May 19, 2023"
24,Sprint 24,Finalizado,"May 22, 2023","June 16, 2023"
25,Sprint 25,Finalizado,"June 19, 2023","July 14, 2023"
26,Sprint 26,Finalizado,"July 17, 2023","August 11, 2023"
27,Sprint 27,Finalizado,"August 14, 2023","September 8, 2023"
28,Sprint 28,Finalizado,"September 11, 2023","October 13, 2023"
