Código,Name,Estado,Completado,Estimación,Sprint,Story,Asignado a
0.1.1.1,Leer y analizar la documentación entregada,Completado,1,4,Sprint 1 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%201%205bbf2321c29a4ad89138ecb6bdefedcb.html),Modelo de Procesos de Negocio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Procesos%20de%20Negocio%20de1a8a6b30b344dba8ef286998d9ff02.html),"Esteban, Juan Diego, Juan Esteban"
0.1.1.2,Analizar el proceso de ingeniería de requisitos entregado,Completado,1,2,Sprint 13 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2013%206645172b1c6241eb9ec6c2ce0db591bf.html),Modelo de Procesos de Negocio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Procesos%20de%20Negocio%20de1a8a6b30b344dba8ef286998d9ff02.html),"Esteban, Juan Diego, Juan Esteban"
0.1.1.3,Diseñar el flujo del sistema del proceso de Ingeniería de Requisitos,Completado,1,2,Sprint 13 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2013%206645172b1c6241eb9ec6c2ce0db591bf.html),Modelo de Procesos de Negocio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Procesos%20de%20Negocio%20de1a8a6b30b344dba8ef286998d9ff02.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.1,(Versión 1) Diseñar el Modelo de Dominio Anémico y Enriquecido del Sistema Principal,Completado,1,2,Sprint 2 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%202%203b61024c224843c28c54b50259c23101.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.2,(Versión 1) Diseñar Los Patrones Arquitectonicos y de Diseño que seran usados en el sistema principal,Completado,1,2,Sprint 2 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%202%203b61024c224843c28c54b50259c23101.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.3,(Versión 1) Diseñar el Modelo de Dominio Anémico y Enriquecido del Sistema del Proceso de Ingeniería de Requisitos,Completado,1,2,Sprint 4 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%204%202d2fd2097e6b43a5872f970780be3990.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.4,(Versión 1) Diseñar Los Patrones Arquitectonicos y de Diseño que seran usados en el Sistema del Proceso de Ingeniería de Requisitos,Completado,1,2,Sprint 4 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%204%202d2fd2097e6b43a5872f970780be3990.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.5,(Versión 2) Diseñar el Modelo de Dominio Anémico y Enriquecido del Sistema Principal,Completado,1,2,Sprint 10 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2010%20ffffda8017d24f9fb97282762ea921cc.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.6,(Versión 2) Diseñar Los Patrones Arquitectonicos y de Diseño que seran usados en el sistema principal,Completado,1,2,Sprint 10 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2010%20ffffda8017d24f9fb97282762ea921cc.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.7,(Versión 2) Diseñar el Modelo de Dominio Anémico y Enriquecido del Sistema del Proceso de Ingeniería de Requisitos,Completado,1,2,Sprint 12 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2012%20639156ec6ec842049edf1014ec0d9438.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.8,(Versión 2) Diseñar Los Patrones Arquitectonicos y de Diseño que seran usados en el Sistema del Proceso de Ingeniería de Requisitos,Completado,1,2,Sprint 12 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2012%20639156ec6ec842049edf1014ec0d9438.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.9,(Versión 3) Diseñar el Modelo de Dominio Anémico y Enriquecido del Sistema Principal,Completado,1,2,Sprint 14 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2014%2097f63f6d39db46f493f67f2b50abe310.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.9.1,(Versión 3) Diseñar Los Patrones Arquitectonicos y de Diseño que seran usados en el sistema principal,Completado,1,2,Sprint 14 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2014%2097f63f6d39db46f493f67f2b50abe310.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
0.1.2.9.2,(Versión 3) Diseñar el Modelo de Dominio Anémico y Enriquecido del Sistema del Proceso de Ingeniería de Requisitos,Completado,1,2,Sprint 16 (Sprints%205c7f763432434ca58cb9a1e7885704ec/Sprint%2016%201f64f70ce6fa4046a5e88d8d52dba1a2.html),Modelo de Dominio (Stories%20e773d4b5fdd7463b838c5e096acfad05/Modelo%20de%20Dominio%20e17f27923c1742cdba290f3b260fbcf2.html),"Esteban, Juan Diego, Juan Esteban"
